id	word	tier	level	category	written_freq	spoken_freq	zhuyin	pinyin	definition	grammar
38854	傳神	精熟	第7級		4.0	2.0	ㄔㄨㄢˊ ㄕㄣˊ	chuánshén	vivid, lifelike	noun
38855	傳世	精熟	第7級		3.0	2.0	ㄔㄨㄢˊ ㄕˋ	chuánshì	handed down from ancient times, family heirloom	
38856	傳輸	精熟	第7級		6.0	3.0	ㄔㄨㄢˊ ㄕㄨ	chuánshū	to transmit, transmission	verb
38857	穿梭	精熟	第7級		12.0	21.0	ㄔㄨㄢ ㄙㄨㄛ	chuānsuō	to travel back and forth, to shuttle	verb
38858	傳宗接代	精熟	第7級		3.0	3.0	ㄔㄨㄢˊ ㄗㄨㄥ ㄐㄧㄝ ㄉㄞˋ	chuánzōngjiēdài	to carry on one's ancestral line	verb
38859	幢	精熟	第7級		18.0	1.0	ㄔㄨㄤˊ	chuáng	banner	noun
38860	創見	精熟	第7級		3.0	1.0	ㄔㄨㄤˋ ㄐㄧㄢˋ	chuàngjiàn	an original idea	noun
38861	創舉	精熟	第7級		3.0	5.0	ㄔㄨㄤˋ ㄐㄩˇ	chuàngjǔ	pioneering work	noun
38862	床鋪/床舖	精熟	第7級		5.0	5.0	ㄔㄨㄤˊ ㄆㄨˋ	chuángpù	bed	noun
38863	創始	精熟	第7級		4.0	2.0	ㄔㄨㄤˋ ㄕˇ	chuàngshǐ	to initiate, to found	verb
38864	窗台	精熟	第7級		3.0	2.0	ㄔㄨㄤ ㄊㄞˊ	chuāngtái	window sill, window ledge	noun
38865	搥	精熟	第7級		2.0	2.0	ㄔㄨㄟˊ	chuí	to beat (with a stick or one's fist), to thump, to pound	verb
38866	錘	精熟	第7級		4.0	1.0	ㄔㄨㄟˊ	chuí	hammer, to hammer into shape, weight (e.g. of a steelyard or balance), to strike with a hammer	noun
38867	垂掛	精熟	第7級		2.0	1.0	ㄔㄨㄟˊ ㄍㄨㄚˋ	chuíguà	to hang down, suspended	verb
38868	吹灰之力	精熟	第7級		3.0	1.0	ㄔㄨㄟ ㄏㄨㄟ ㄓ ㄌㄧˋ	chuīhuīzhīlì	a slight effort	noun
38869	吹口哨	精熟	第7級		4.0	0.0	ㄔㄨㄟ ㄎㄡˇ ㄕㄠˋ	chuīkǒushào	to whistle	verb
38870	吹毛求疵	精熟	第7級		3.0	1.0	ㄔㄨㄟ ㄇㄠˊ ㄑㄧㄡˊ ㄘ	chuīmáoqiúcī	lit. to blow apart the hairs upon a fur to discover any defect (idiom), fig. to be fastidious, nitpick	
38871	吹捧	精熟	第7級		3.0	1.0	ㄔㄨㄟ ㄆㄥˇ	chuīpěng	to flatter, to laud sb's accomplishments, adulation	verb
38872	垂死	精熟	第7級		4.0	3.0	ㄔㄨㄟˊ ㄙˇ	chuísǐ	dying	noun
38873	垂頭喪氣	精熟	第7級		6.0	2.0	ㄔㄨㄟˊ ㄊㄡˊ ㄙㄤˋ ㄑㄧˋ	chuítóusàngqì	hanging one's head dispiritedly (idiom), dejected, crestfallen	
38874	垂涎	精熟	第7級		3.0	1.0	ㄔㄨㄟˊ ㄒㄧㄢˊ	chuíxián	to water at the mouth, to drool	verb
38875	吹噓	精熟	第7級		6.0	1.0	ㄔㄨㄟ ㄒㄩ	chuīxū	to brag	verb
38876	吹奏	精熟	第7級		3.0	1.0	ㄔㄨㄟ ㄗㄡˋ	chuīzòu	to play (wind instruments)	verb
