id	character	word_id
961	意	43086
962	中	29026
963	文	29026
964	中	30677
965	文	30677
966	系	30677
967	中	34004
968	斷	34004
969	中	34015
970	暑	34015
971	中	43079
972	樞	43079
973	中	38120
974	止	38120
975	中	34003
976	毒	34003
977	中	34010
978	獎	34010
979	中	38102
980	產	38102
981	階	38102
982	級	38102
983	中	43087
984	用	43087
985	中	38110
986	立	38110
987	中	34001
988	等	34001
989	中	34009
990	級	34009
991	中	43070
992	肯	43070
993	中	43084
994	興	43084
995	中	34008
996	華	34008
997	民	34008
998	國	34008
999	中	43085
1000	葉	43085
1001	中	34020
1002	藥	34020
1003	中	34016
1004	途	34016
1005	中	34022
1006	醫	34022
1007	中	29436
1008	間	29436
1009	中	34006
1010	風	34006
1011	串	31789
1012	串	38850
1013	連	38850
1014	主	30094
1015	人	30094
1016	主	43114
1017	人	43114
1018	翁	43114
1019	主	30678
1020	任	30678
1021	主	34051
1022	修	34051
1023	主	31499
1024	動	31499
1025	主	34038
1026	婦	34038
1027	主	38152
1028	宰	38152
1029	主	43108
1030	將	43108
1031	主	34036
1032	導	34036
1033	主	34050
1034	席	34050
1035	主	34035
1036	廚	34035
1037	主	34055
1038	張	34055
1039	主	31502
1040	意	31502
1041	主	38135
1042	打	38135
1043	主	34034
1044	持	34034
1045	主	43121
1046	政	43121
1047	主	38155
1048	旨	38155
1049	主	34046
1050	流	34046
1051	主	34052
1052	演	34052
1053	主	31500
1054	管	31500
1055	主	34031
1056	編	34031
1057	主	34053
1058	義	34053
1059	主	30410
1060	要	30410
1061	主	34044
1062	見	34044
1063	主	34039
1064	觀	34039
1065	主	30409
1066	角	30409
1067	主	38156
1068	軸	38156
1069	主	34030
1070	辦	34030
1071	主	30540
1072	題	30540
1073	主	34049
1074	體	34049
1075	乃	36172
1076	是	36172
1077	乃	36173
1078	至	36173
1079	久	28904
1080	久	40211
1081	留	40211
1082	久	35681
1083	而	35681
1085	之	35681
1086	久	35689
1087	遠	35689
1088	之	33953
1089	之	30403
1090	中	30403
1091	之	30400
1092	前	30400
1093	之	30398
1094	後	30398
1095	之	33979
1096	所	33979
1097	以	33979
1098	之	30399
1099	間	30399
1100	之	38068
1101	類	38068
1102	之	33990
1103	餘	33990
1104	乍	42864
1105	乍	42868
1106	現	42868
1107	乏	34844
1108	味	34844
1109	乒	31191
1110	乓	31191
1111	球	31191
1112	乖	30197
1113	乖	35144
1114	巧	35144
1115	乘	29892
1116	乘	38751
1117	勢	38751
1118	乘	31736
1119	坐	31736
1120	乘	30843
1121	客	30843
1122	乘	34431
1123	機	34431
1124	乘	38745
1125	涼	38745
1126	乘	38737
1127	車	38737
1128	乙	37685
1129	九	28905
1130	九	40214
1131	霄	40214
1132	雲	40214
1133	外	40214
1134	乞	36357
1135	丐	36357
1136	乞	41018
1137	求	41018
1138	乞	41026
1139	討	41026
1140	也	29008
1141	也	30061
1142	許	30061
1143	乾	29703
1144	乾	41043
1145	乾	41060
1146	坤	41060
1147	乾	35019
1148	旱	35019
1149	乾	39429
1150	枯	39429
1151	乾	39428
1152	涸	39428
1153	乾	29289
1154	淨	29289
1155	乾	35032
1156	燥	35032
1157	乾	35022
1158	糧	35022
1159	乾	32109
1160	脆	32109
1161	亂	29756
1162	亂	32710
1163	七	32710
1164	八	32710
1165	糟	32710
1166	亂	36019
1167	世	36019
1168	亂	40592
1169	竄	40592
1170	了	40499
1171	不	40499
1172	得	40499
1173	了	31116
1174	不	31116
1175	起	31116
1176	了	40503
1177	得	40503
1178	了	40507
1179	然	40507
1180	了	40504
1181	結	40504
1182	了	29978
1183	解	29978
1184	予	37866
1185	以	37866
1186	事	29168
1187	事	33162
1188	件	33162
1189	事	41488
1190	例	41488
1191	事	33178
1192	先	33178
1193	事	33175
1194	務	33175
1195	事	41463
1196	半	41463
1197	功	41463
1198	倍	41463
1199	事	36842
1200	宜	36842
1201	事	30316
1202	實	30316
1203	事	33172
1204	實	33172
1205	上	33172
1206	事	29375
1207	情	29375
1208	事	41514
1209	態	41514
1210	事	33157
1211	故	33157
1212	事	31275
1213	業	31275
1214	事	41472
1215	端	41472
1216	事	41526
1217	與	41526
1218	願	41526
1219	違	41526
1220	事	36780
1221	變	36780
1222	事	36796
1223	蹟	36796
1224	事	33179
1225	項	33179
1226	二	28879
1227	二	34824
1228	氧	34824
1229	化	34824
1230	碳	34824
1231	二	39227
1232	話	39227
1233	不	39227
1234	說	39227
1235	于	37844
1236	互	39763
1237	信	39763
1238	互	32291
1239	助	32291
1240	互	30997
1241	動	30997
1242	互	39754
1243	惠	39754
1244	互	30214
1245	相	30214
1246	互	35281
1247	補	35281
1248	互	39761
1249	通	39761
1250	五	28988
1251	五	42054
1252	光	42054
1253	十	42054
1254	色	42054
1255	五	37293
1256	官	37293
1257	五	42044
1258	彩	42044
1259	五	42045
1260	彩	42045
1261	繽	42045
1262	紛	42045
1263	五	33487
1264	花	33487
1265	八	33487
1266	門	33487
1267	五	42062
1268	金	42062
1269	五	33503
1270	顏	33503
1271	六	33503
1272	色	33503
1273	五	42085
1274	體	42085
1275	投	42085
1276	地	42085
1277	井	32498
1278	井	40161
1280	有	40161
1281	條	40161
1282	井	40183
1283	水	40183
1284	井	40177
1285	然	40177
1286	有	40177
1287	序	40177
1288	些	37473
1289	微	37473
1290	些	37475
1291	許	37475
1292	亞	33669
1293	軍	33669
1294	亡	41971
1295	命	41971
1296	亡	37214
1297	國	37214
1298	亡	41968
1299	故	41968
1300	亢	40293
1301	奮	40293
1302	交	29525
1303	交	35538
1304	互	35538
1305	交	35535
1306	付	35535
1307	交	32435
1308	代	32435
1309	交	40028
1310	保	40028
1311	交	40039
1312	加	40039
1313	交	35532
1314	叉	35532
1315	交	32450
1316	友	32450
1317	交	40030
1318	差	40030
1319	交	32446
1320	往	32446
1321	交	35546
1322	情	35546
1323	交	35555
1324	戰	35555
1325	交	35544
1326	接	35544
1327	交	30583
1328	換	30583
1329	交	32448
1330	易	32448
1331	交	35548
1332	替	35548
1333	交	40037
1334	會	40037
1335	交	31039
1336	流	31039
1337	交	35547
1338	涉	35547
1339	交	40042
1340	界	40042
1341	交	40031
1342	疊	40031
1343	交	35556
1344	織	35556
1345	交	40049
1346	融	40049
1347	交	32444
1348	談	32444
1349	交	29728
1350	通	29728
1351	交	40048
1352	配	40048
1353	交	40033
1354	鋒	40033
1355	交	35534
1356	錯	35534
1357	交	35543
1358	際	35543
1359	交	35541
1360	集	35541
1361	亦	37682
1362	亦	42534
1363	步	42534
1365	趨	42534
1366	享	30531
1367	受	30531
1368	享	37436
1369	有	37436
1370	享	37419
1371	樂	37419
1372	享	37435
1373	用	37435
1374	享	42211
1375	福	42211
1376	京	40150
1377	城	40150
1378	京	40181
1379	師	40181
1380	亮	30263
1381	亮	35943
1382	光	35943
1383	亮	35947
1384	晶	35947
1386	亮	40495
1387	相	40495
1388	亮	35950
1389	眼	35950
1390	亮	35948
1391	麗	35948
1392	人	28950
1393	人	36579
1394	世	36579
1395	人	33047
1396	事	33047
1397	人	41244
1398	云	41244
1399	亦	41244
1401	人	41236
1402	來	41236
1404	往	41236
1405	人	31224
1406	們	31224
1407	人	41241
1408	像	41241
1409	人	30564
1410	口	30564
1411	人	36571
1412	命	36571
1413	人	41234
1414	和	41234
1415	人	41239
1416	品	41239
1417	人	33055
1418	員	33055
1419	人	33048
1420	士	33048
1421	人	31222
1422	家	31222
1423	人	33039
1424	家	33039
1425	人	33046
1426	山	33046
1428	海	33046
1429	人	33037
1430	工	33037
1431	人	36592
1432	影	36592
1433	人	33052
1434	心	33052
1435	人	41242
1436	心	41242
1437	惶	41242
1439	人	33053
1440	性	33053
1441	人	36575
1442	情	36575
1443	人	33044
1444	情	33044
1445	味	33044
1446	人	36580
1447	手	36580
1448	人	30498
1449	才	30498
1450	人	30565
1451	數	30565
1452	人	36585
1453	文	36585
1454	人	41232
1455	本	41232
1456	人	33036
1457	格	33036
1458	人	33045
1459	權	33045
1460	人	36565
1461	次	36565
1462	人	31225
1463	民	31225
1464	人	33041
1465	民	33041
1466	幣	33041
1467	人	33043
1468	氣	33043
1469	人	33033
1470	潮	33033
1471	人	36584
1472	為	36584
1473	人	41243
1474	煙	41243
1475	人	31226
1476	生	31226
1477	人	41246
1478	種	41246
1479	人	41233
1480	稱	41233
1481	人	33056
1482	緣	33056
1483	人	36577
1484	群	36577
1485	人	36570
1486	脈	36570
1487	人	30566
1488	行	30566
1489	道	30566
1490	人	36596
1491	質	36596
1492	人	41235
1493	跡	41235
1494	人	36578
1495	身	36578
1496	人	36595
1497	造	36595
1498	人	36566
1499	道	36566
1500	人	33054
1501	選	33054
1502	人	33040
1503	間	33040
1504	人	33038
1505	際	33038
1506	人	41237
1507	面	41237
1508	人	36583
1509	頭	36583
1510	人	31223
1511	類	31223
1512	人	36569
1513	馬	36569
1514	人	33050
1515	體	33050
1516	什	28958
1517	麼	28958
1518	仁	36563
1519	仁	36564
1520	慈	36564
1521	仁	36590
1522	義	36590
1523	仇	34479
1524	仇	34485
1525	恨	34485
1526	仇	38801
1527	敵	38801
1528	仇	38815
1529	視	38815
1530	今	28902
1531	天	28902
1532	今	28901
